Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",100.070000,-67.205000,-90.000000,bottom
"C2","4.7uF","C_0603_1608Metric",105.520000,-66.975000,90.000000,bottom
"C3","27pf","C_0402_1005Metric",119.570000,-60.920000,90.000000,bottom
"C4","27pf","C_0402_1005Metric",124.880000,-62.860000,90.000000,bottom
"J3","SWD","PinHeader_1x05_P2.54mm_Vertical",108.795000,-73.120000,-90.000000,bottom
"J4","USB4105-GF-A","GCT_USB4105-GF-A",87.920000,-67.130000,90.000000,bottom
"J7","USB_Header","PinHeader_1x04_P2.54mm_Vertical",97.220000,-69.550000,0.000000,bottom
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",148.300000,-54.260000,90.000000,bottom
"L1","120R 100MHZ","L_0402_1005Metric",108.310000,-67.110000,-90.000000,bottom
"R2","1k","R_0402_1005Metric",119.560000,-62.860000,-90.000000,bottom
"R3","10k","R_0603_1608Metric",115.150000,-69.750000,-90.000000,bottom
"R4","10k","R_0603_1608Metric",113.690000,-69.750000,-90.000000,bottom
"SW1","RESET","SW_PUSH_6mm",104.720000,-73.145000,180.000000,bottom
"SW5","BOOTSEL","SW_PUSH_6mm",128.975000,-73.145000,180.000000,bottom
"U1","AP2127K-3.3","SOT-23-5",102.820000,-67.295000,0.000000,bottom
"U2","USBLC6-2P6","SOT-666",101.195000,-62.450000,0.000000,bottom
"U3","74LVC1G17","SOT-753",124.810000,-66.900000,90.000000,bottom
"U4","W25Q16JVUXIQ_TR","IC_W25Q16JVUXIQ_TR",104.130000,-58.377500,-90.000000,bottom
"U5","RP2040","RP2040-QFN-56",113.000000,-63.000000,-90.000000,bottom
"Y1","12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",122.230000,-61.200000,0.000000,bottom
"C5","0.1uf","C_0402_1005Metric",117.320000,-77.550000,-90.000000,top
"C6","0.1uf","C_0402_1005Metric",115.600000,-64.050000,180.000000,top
"C7","0.1uf","C_0402_1005Metric",110.370000,-64.450000,0.000000,top
"C8","0.1uf","C_0402_1005Metric",107.080000,-77.990000,-90.000000,top
"C9","1uf","C_0402_1005Metric",110.370000,-61.450000,0.000000,top
"C10","0.1uf","C_0402_1005Metric",114.000000,-65.600000,90.000000,top
"C11","0.1uf","C_0402_1005Metric",115.620000,-62.750000,180.000000,top
"C12","0.1uf","C_0402_1005Metric",110.370000,-62.450000,0.000000,top
"C13","0.1uf","C_0402_1005Metric",114.000000,-60.350000,-90.000000,top
"C14","0.1uf","C_0402_1005Metric",110.370000,-63.450000,0.000000,top
"C15","0.1uf","C_0402_1005Metric",111.880000,-65.600000,90.000000,top
"C16","0.1uf","C_0402_1005Metric",110.370000,-65.450000,0.000000,top
"C17","0.1uf","C_0402_1005Metric",111.090000,-60.400000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.920000,-62.150000,0.000000,top
"J2","I2C Header 1","1pt3in_OLED",113.470000,-52.850000,0.000000,top
"R1","1K","R_0603_1608Metric",119.360000,-78.260000,90.000000,top
"R5","5.1K","R_0402_1005Metric",92.320000,-73.050000,0.000000,top
"R6","5.1K","R_0402_1005Metric",92.320000,-61.150000,180.000000,top
"SW6","Killswitch","SW_PUSH_6mm",156.670000,-69.900000,0.000000,top
"SW7","Rotary_Encoder_Switch","EN11_Encoder",144.420000,-67.150000,0.000000,top
